traitID,traitName,trait_class,broaderTerm,type_of_data,traitUnit,MaxAllowedValue,MinAllowedValue,factorLevels,traitDescription,extendedDescription,example,Source,
,Activity_period,behaviour,Phenology,character,NA,NA,NA,NA,first and last month of a year when individuals can be observed,"First and last month are abbreviated to three letters based on english names. Months are connected with ""-"" for continous time spans or separated with ""."" for interupted time spans.",Apr-Aug.Nov,http://t-sita.cesab.org/BETSI_vizInfo.jsp?trait=Adult_activity,
,Observation_first_date,behaviour,Activity_period,integer,date,365,1,NA,"earliest observation within a year, given as yearday",,125,http://t-sita.cesab.org/BETSI_vizInfo.jsp?trait=Adult_activity,
,Observation_last_date,behaviour,Activity_period,integer,date,365,1,NA,"latest observation within a year, given as yearday",,350,http://t-sita.cesab.org/BETSI_vizInfo.jsp?trait=Adult_activity,
,Activity_period_length,behaviour,Phenology,integer,month,12,0,NA,number of months during individuals are active,Weeks and days are expressed as fractions of an an average month (i.e. 30 days),3,http://t-sita.cesab.org/BETSI_vizInfo.jsp?trait=Adult_activity,
,Flight_period_length,behaviour,Activity_period_length,integer,month,12,0,NA,number of months during which flying individuals are observed,Weeks and days are expressed as fractions of an an average month (i.e. 30 days),1.5,http://t-sita.cesab.org/BETSI_vizInfo.jsp?trait=Adult_activity,
,Clustering_of_individuals,behaviour,Intraspecific_relation,logical,NA,NA,NA,NA,individuals usually occur in spatial clusters,,TRUE,,
,Hibernation_in_conifers,behaviour,Hibernation_strategy,logical,NA,NA,NA,NA,coniferous tree species are used for hibernation,,TRUE,,
,Hibernation_strategy,behaviour,Protection_behaviour,factor,NA,NA,NA,Dormancy/Rest/Freezing,"strategy against climatic adversity, such as low temperature or drought",,Dormancy,http://t-sita.cesab.org/BETSI_vizInfo.jsp?trait=Overwintering,
,Protection_behaviour,behaviour,Behaviour,factor,NA,NA,NA,Hibernation/Starvation,strategies used for protection,Any animal behaviour allowing it to escape from a danger or a nocive situation and to survive,Hibernation,http://t-sita.cesab.org/BETSI_vizInfo.jsp?trait=Protection_behaviour,
,Dispersal_mode,behaviour,Dispersal_behaviour,factor,NA,NA,NA,active/passive/both,strategies used for dispersal,Does not include disperal of offspring or reproductive cells,active,http://t-sita.cesab.org/BETSI_vizInfo.jsp?trait=Dispersal_behaviour,
,Dispersal_effectiveness,behaviour,Dispersal_behaviour,factor,NA,NA,NA,0/0.25/0.5/0.75/1,dispersal ability relative to other species within the same taxonomic group,,0.5,,
,Dispersal_range_active,behaviour,Dispersal_behaviour,factor,NA,NA,NA,meters/kilometers/10kilometers/100kilometers/continents/global,potential range of dispersal using active dispersal strategies,,10kilometers,,
,Dispersal_range_passive,behaviour,Dispersal_behaviour,factor,NA,NA,NA,meters/kilometers/10kilometers/100kilometers/continents/global,potential range of dispersal using passive dispersal strategies,,10kilometers,,
,Flight_ability,behaviour,Dispersal_behaviour,logical,NA,NA,NA,NA,locomotion by means of wings,,TRUE,,
,Physical_eggs_protection,behaviour,Reproduction_mode,logical,NA,NA,NA,NA,protection of eggs by physical means,Includes protection outside the parent and inside the parend,TRUE,http://t-sita.cesab.org/BETSI_vizInfo.jsp?trait=Physical_eggs_protection,
,Egg_protection_type,behaviour,Physical_eggs_protection,factor,NA,NA,NA,Nest/Internal/Parasitism,strategies for egg protection,Parasitims includes cuckoldry. Internal protection applies to viviparous strategies,Internal,,
,Nest_stratum,behaviour,Egg_protection_type,factor,NA,NA,NA,Burrow/Ground/Vegetation,stratum of the nest location,Vegetation includes low and dead vegetation,Ground,,
,Pupal_location,behaviour,Reproduction_mode,factor,NA,NA,NA,tbd,position of the pupa within the nest,Usually applies to burrows or tree holes,,,
,Social_strategy,behaviour,Intraspecific_relation,factor,NA,NA,NA,eusocial/social/solitary,strategies regarding interindividual behaviour,"Any behavioural or ecological features that increase interindividual attraction, and tolerance.",eusocial,http://t-sita.cesab.org/BETSI_vizInfo.jsp?trait=Sociability,
,Habitat_specialization ,environment,Habitat,logical,NA,NA,NA,NA,occurence of individuals,Any level of habitat specialization should be indicated here.,TRUE,,
,Habitat_preferences,environment,Habitat_specialization ,integer,NA,9999,0,NA,number of habitat types where individuals can be observed,"Obiquitos species are assigned 0, strict specialists are assigned 1.",2,,
,Stratum_preference,environment,Habitat_preferences,factor,NA,NA,NA,s/s-(g)/s-(h)/s-(t)/g/(s)-g/g-(h)/g-(t)/h/(s)-h/(g)-h/h-(t)/t/(s)-t/(g)-t/(h)-t,vertical distribution of habitat,Stratum in which individuals are usually observed. Second prefered habitat is given in brackets. S:soil/g:ground/h:herb-layer/t:shrub & tree_layer,ground,https://www.nature.com/articles/sdata201513,
